Results Table 1,,,,,,,,,,,,,,,,,
,Specimen label,,,,,,,,,,,,,,,,
2,CF-CO-5,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Results Table 2,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Time,Displacement,Force,,,,,,,,,,,,,,,
(s),(mm),(N),,,,,,,,,,,,,,,
0,0,0.0017,,,,,,,,,,,,,,,
0.02,0,0.0053,,,,,,,,,,,,,,,
0.04,0,0.0029,,,,,,,,,,,,,,,
0.06,0,-0.0022,,,,,,,,,,,,,,,
0.08,0,0.0006,,,,,,,,,,,,,,,
0.1,0,0.0007,,,,,,,,,,,,,,,
0.12,0,-0.0029,,,,,,,,,,,,,,,
0.14,0.0004,0.0004,,,,,,,,,,,,,,,
0.16,0.0004,0.0019,,,,,,,,,,,,,,,
0.18,0.0004,0.0036,,,,,,,,,,,,,,,
0.2,0.0006,0.001,,,,,,,,,,,,,,,
0.22,0.0008,-0.0016,,,,,,,,,,,,,,,
0.24,0.001,0.0027,,,,,,,,,,,,,,,
0.26,0.0015,0.0039,,,,,,,,,,,,,,,
0.28,0.0019,0.0005,,,,,,,,,,,,,,,
0.3,0.0023,-0.0021,,,,,,,,,,,,,,,
0.32,0.0029,-0.0004,,,,,,,,,,,,,,,
0.34,0.0033,0.0029,,,,,,,,,,,,,,,
0.36,0.004,0.003,,,,,,,,,,,,,,,
0.38,0.0044,0,,,,,,,,,,,,,,,
0.4,0.0048,0.0016,,,,,,,,,,,,,,,
0.42,0.0054,0.0025,,,,,,,,,,,,,,,
0.44,0.0058,0.0022,,,,,,,,,,,,,,,
0.46,0.0062,0.0024,,,,,,,,,,,,,,,
0.48,0.0067,0.0001,,,,,,,,,,,,,,,
0.5,0.0073,-0.0021,,,,,,,,,,,,,,,
0.52,0.0077,0.0009,,,,,,,,,,,,,,,
0.54,0.0081,0.0015,,,,,,,,,,,,,,,
0.56,0.0085,0.0022,,,,,,,,,,,,,,,
0.58,0.009,0.002,,,,,,,,,,,,,,,
0.6,0.0094,-0.0002,,,,,,,,,,,,,,,
0.62,0.0098,0.0016,,,,,,,,,,,,,,,
0.64,0.0102,0.0025,,,,,,,,,,,,,,,
0.66,0.0106,0.0009,,,,,,,,,,,,,,,
0.68,0.011,0.0005,,,,,,,,,,,,,,,
0.7,0.0115,0.0014,,,,,,,,,,,,,,,
0.72,0.0117,0.0016,,,,,,,,,,,,,,,
0.74,0.0121,0.0002,,,,,,,,,,,,,,,
0.76,0.0123,0.0012,,,,,,,,,,,,,,,
0.78,0.0127,0.004,,,,,,,,,,,,,,,
0.8,0.0131,0.0032,,,,,,,,,,,,,,,
0.82,0.0133,-0.0006,,,,,,,,,,,,,,,
0.84,0.0137,0.0007,,,,,,,,,,,,,,,
0.86,0.014,0.0024,,,,,,,,,,,,,,,
0.88,0.0144,0.0013,,,,,,,,,,,,,,,
0.9,0.0148,0.0002,,,,,,,,,,,,,,,
0.92,0.0152,-0.0021,,,,,,,,,,,,,,,
0.94,0.0154,0.0022,,,,,,,,,,,,,,,
0.96,0.0158,0.003,,,,,,,,,,,,,,,
0.98,0.0162,0.0011,,,,,,,,,,,,,,,
1,0.0165,0.0013,,,,,,,,,,,,,,,
1.02,0.0169,0.001,,,,,,,,,,,,,,,
1.04,0.0173,0.0021,,,,,,,,,,,,,,,
1.06,0.0175,0.0018,,,,,,,,,,,,,,,
1.08,0.0179,0.0015,,,,,,,,,,,,,,,
1.1,0.0181,0.0016,,,,,,,,,,,,,,,
1.12,0.0185,0.0011,,,,,,,,,,,,,,,
1.14,0.019,0.0009,,,,,,,,,,,,,,,
1.16,0.0192,0.0024,,,,,,,,,,,,,,,
1.18,0.0196,0.0031,,,,,,,,,,,,,,,
1.2,0.0198,0.0017,,,,,,,,,,,,,,,
1.22,0.0202,0.0018,,,,,,,,,,,,,,,
