Results Table 1,,,,,,,,,,,,,,,,,
,Specimen label,,,,,,,,,,,,,,,,
1,CF-UN-5,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Results Table 2,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Time,Displacement,Force,,,,,,,,,,,,,,,
(s),(mm),(N),,,,,,,,,,,,,,,
0,0,0.0007,,,,,,,,,,,,,,,
0.02,0,0.0006,,,,,,,,,,,,,,,
0.04,0,-0.0001,,,,,,,,,,,,,,,
0.06,0,-0.0012,,,,,,,,,,,,,,,
0.08,0,-0.0022,,,,,,,,,,,,,,,
0.1,0,0.0016,,,,,,,,,,,,,,,
0.12,0.0004,0.0008,,,,,,,,,,,,,,,
0.14,0.0004,-0.0006,,,,,,,,,,,,,,,
0.16,0.0004,0.0007,,,,,,,,,,,,,,,
0.18,0.0006,0.0012,,,,,,,,,,,,,,,
0.2,0.0006,0.0012,,,,,,,,,,,,,,,
0.22,0.0008,-0.0014,,,,,,,,,,,,,,,
0.24,0.001,-0.0005,,,,,,,,,,,,,,,
0.26,0.0012,0.0008,,,,,,,,,,,,,,,
0.28,0.0015,0.0003,,,,,,,,,,,,,,,
0.3,0.0015,-0.0011,,,,,,,,,,,,,,,
0.32,0.0017,0.0003,,,,,,,,,,,,,,,
0.34,0.0019,0.0011,,,,,,,,,,,,,,,
0.36,0.0019,0.0003,,,,,,,,,,,,,,,
0.38,0.0021,0.0011,,,,,,,,,,,,,,,
0.4,0.0023,-0.0003,,,,,,,,,,,,,,,
0.42,0.0025,0.0003,,,,,,,,,,,,,,,
0.44,0.0029,-0.0017,,,,,,,,,,,,,,,
0.46,0.0033,-0.0009,,,,,,,,,,,,,,,
0.48,0.004,0.0013,,,,,,,,,,,,,,,
0.5,0.0046,-0.0003,,,,,,,,,,,,,,,
0.52,0.0052,-0.0004,,,,,,,,,,,,,,,
0.54,0.0058,0.0009,,,,,,,,,,,,,,,
0.56,0.0065,0.0006,,,,,,,,,,,,,,,
0.58,0.0069,0.0018,,,,,,,,,,,,,,,
0.6,0.0075,-0.0004,,,,,,,,,,,,,,,
0.62,0.0081,-0.0004,,,,,,,,,,,,,,,
0.64,0.0085,0.0014,,,,,,,,,,,,,,,
0.66,0.0092,0,,,,,,,,,,,,,,,
0.68,0.0096,-0.0002,,,,,,,,,,,,,,,
0.7,0.01,-0.0001,,,,,,,,,,,,,,,
0.72,0.0106,0.0014,,,,,,,,,,,,,,,
0.74,0.011,0.0001,,,,,,,,,,,,,,,
0.76,0.0115,0.0003,,,,,,,,,,,,,,,
0.78,0.0121,0.0005,,,,,,,,,,,,,,,
0.8,0.0125,0.0011,,,,,,,,,,,,,,,
0.82,0.0129,-0.0007,,,,,,,,,,,,,,,
0.84,0.0133,-0.0017,,,,,,,,,,,,,,,
0.86,0.0137,0.0016,,,,,,,,,,,,,,,
0.88,0.0142,0.0012,,,,,,,,,,,,,,,
0.9,0.0146,-0.0001,,,,,,,,,,,,,,,
0.92,0.015,0.0003,,,,,,,,,,,,,,,
0.94,0.0154,0.0011,,,,,,,,,,,,,,,
0.96,0.0158,0.0017,,,,,,,,,,,,,,,
0.98,0.0162,0.0005,,,,,,,,,,,,,,,
1,0.0167,0.0003,,,,,,,,,,,,,,,
1.02,0.0169,0.0012,,,,,,,,,,,,,,,
1.04,0.0173,-0.0003,,,,,,,,,,,,,,,
1.06,0.0175,-0.0004,,,,,,,,,,,,,,,
1.08,0.0179,0.0005,,,,,,,,,,,,,,,
1.1,0.0183,0.0002,,,,,,,,,,,,,,,
1.12,0.0185,0.0012,,,,,,,,,,,,,,,
1.14,0.019,0.0012,,,,,,,,,,,,,,,
1.16,0.0194,0.0007,,,,,,,,,,,,,,,
1.18,0.0196,0.0012,,,,,,,,,,,,,,,
1.2,0.02,-0.0003,,,,,,,,,,,,,,,
1.22,0.0204,0.0001,,,,,,,,,,,,,,,
1.24,0.0208,0.0005,,,,,,,,,,,,,,,
1.26,0.021,-0.0001,,,,,,,,,,,,,,,
1.28,0.0215,0.0003,,,,,,,,,,,,,,,
1.3,0.0219,0.0013,,,,,,,,,,,,,,,
1.32,0.0221,0.0012,,,,,,,,,,,,,,,
1.34,0.0225,0.0018,,,,,,,,,,,,,,,
1.36,0.0229,0.0008,,,,,,,,,,,,,,,
1.38,0.0233,0.0013,,,,,,,,,,,,,,,
1.4,0.0237,0.0015,,,,,,,,,,,,,,,
1.42,0.024,0.0001,,,,,,,,,,,,,,,
1.44,0.0244,-0.0012,,,,,,,,,,,,,,,
1.46,0.0246,-0.0002,,,,,,,,,,,,,,,
