"TEST_HEADER_START","Data source","Date","Time","Start Timestamp","End Timestamp","Specimen identifier","TEST_HEADER_END","SPECIMEN_HEADER_START","Specimen type","Thickness (mm)","Area (sq mm)","Axial Gauge Length (mm)","Transverse Gauge Length (mm)","Grip Separation (mm)","SPECIMEN_HEADER_END","RESULTS_HEADER_START","Displacement at 0.000 N (%) ","Displacement at Maximum Load (%) ","Extension at Max Load (mm) ","Load at Break (N) ","Load at Max Position (N) ","RESULTS_HEADER_END"
"TEST_INFO_START","L174-5L-2026-01-22-17-57-27.mtwData","2026-01-22","17:57:27","2026-01-22 17:57:27.504","2026-01-22 17:57:27.552","12","TEST_INFO_END","SPECIMEN_INFO_START","Thickness",10.2,999999.9,7.6199994,7.6199994,25.0,"SPECIMEN_INFO_END","RESULTS_INFO_START","0.00","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","10.41","0.793","70.640","RESULTS_INFO_END"

"Time","Load (N)","Position (mm)","Control Out (V)"
0.0,0.15999946,0.0,0.35707745
0.01000000536441803,0.3799987,9.431905E-4,0.35219434
0.019999995827674866,0.6759977,0.0022232349,0.3436489
0.030000001192092896,1.0319965,0.0035706495,0.33510345
0.03999999165534973,1.3359954,0.0048506944,0.3277788
0.04999999701976776,1.6079944,0.005726514,0.32289568
0.06000000238418579,1.8039938,0.0063328505,0.31923336
0.06999999284744263,1.9559934,0.0068718167,0.31801257
0.07999999821186066,2.067993,0.0072760414,0.315571
0.09000000357627869,2.1759925,0.007680265,0.31312945
0.09999999403953552,2.2759922,0.00808449,0.31312945
0.10999999940395355,2.335992,0.008353973,0.3106879
0.12000000476837158,2.4399917,0.008623456,0.3106879
0.12999999523162842,2.5239913,0.0088929385,0.3106879
0.13999998569488525,2.5839913,0.009297163,0.30946714
0.15000000596046448,2.7359908,0.009836129,0.3058048
0.1599999964237213,2.88399,0.010375095,0.30336323
0.16999998688697815,2.98399,0.010779319,0.30092168
0.18000000715255737,3.0239897,0.010981432,0.30092168
0.1899999976158142,3.0599897,0.011183544,0.30092168
0.19999998807907104,3.1559892,0.011453027,0.30092168
