Time,Displacement,Force,,,,,,,,,,,,,,,,,,,
(s),(mm),(N),,,,,,,,,,,,,,,,,,,
0,0,-0.0015,,,,,,,,,,,,,,,,,,,
0.02,0,-0.0003,,,,,,,,,,,,,,,,,,,
0.04,0.0004,0.0008,,,,,,,,,,,,,,,,,,,
0.06,0.0004,-0.0019,,,,,,,,,,,,,,,,,,,
0.08,0.0004,-0.0019,,,,,,,,,,,,,,,,,,,
0.1,0.0006,0.0006,,,,,,,,,,,,,,,,,,,
0.12,0.0008,0.0021,,,,,,,,,,,,,,,,DISP,CELL,AVG,STDEV
0.14,0.0008,-0.0001,,,,,,,,,,,,,,,START,50,150005,0.509614817,0.159722424
0.16,0.0012,-0.0013,,,,,,,,,,,,,,,STOP,75.4,226205,,
0.18,0.0015,0.0031,,,,,,,,,,,,,,,,,,,
0.2,0.0017,0.001,,,,,,,,,,,,,,,,,,,
0.22,0.0021,-0.0014,,,,,,,,,,,,,,,,,,,
0.24,0.0025,-0.002,,,,,,,,,,,,,,,,,,,
0.26,0.0029,0,,,,,,,,,,,,,,,,,,,
0.28,0.0033,0.0015,,,,,,,,,,,,,,,,,,,
0.3,0.0037,-0.001,,,,,,,,,,,,,,,,,,,
0.32,0.0042,0.0002,,,,,,,,,,,,,,,,,,,
0.34,0.0046,0.0001,,,,,,,,,,,,,,,,,,,
0.36,0.005,-0.0008,,,,,,,,,,,,,,,,,,,
0.38,0.0054,0.0006,,,,,,,,,,,,,,,,,,,
0.4,0.0058,0.0023,,,,,,,,,,,,,,,,,,,
0.42,0.006,0.0003,,,,,,,,,,,,,,,,,,,
0.44,0.0065,-0.0025,,,,,,,,,,,,,,,,,,,
0.46,0.0069,-0.0015,,,,,,,,,,,,,,,,,,,
0.48,0.0073,0.0012,,,,,,,,,,,,,,,,,,,
0.5,0.0077,0.0009,,,,,,,,,,,,,,,,,,,
0.52,0.0081,0,,,,,,,,,,,,,,,,,,,
0.54,0.0083,-0.0008,,,,,,,,,,,,,,,,,,,
0.56,0.0087,0.0009,,,,,,,,,,,,,,,,,,,
0.58,0.0092,-0.0003,,,,,,,,,,,,,,,,,,,
0.6,0.0096,-0.0005,,,,,,,,,,,,,,,,,,,
0.62,0.01,0.0004,,,,,,,,,,,,,,,,,,,
0.64,0.0104,0.0004,,,,,,,,,,,,,,,,,,,
0.66,0.0106,-0.0001,,,,,,,,,,,,,,,,,,,
0.68,0.011,-0.0019,,,,,,,,,,,,,,,,,,,
0.7,0.0112,0.0007,,,,,,,,,,,,,,,,,,,
0.72,0.0117,0.0011,,,,,,,,,,,,,,,,,,,
0.74,0.0121,-0.0006,,,,,,,,,,,,,,,,,,,
0.76,0.0123,-0.0002,,,,,,,,,,,,,,,,,,,
0.78,0.0127,0.0004,,,,,,,,,,,,,,,,,,,
0.8,0.0131,0.0016,,,,,,,,,,,,,,,,,,,
0.82,0.0133,0.0004,,,,,,,,,,,,,,,,,,,
0.84,0.0137,-0.0007,,,,,,,,,,,,,,,,,,,
0.86,0.0142,-0.0015,,,,,,,,,,,,,,,,,,,
0.88,0.0144,0.0008,,,,,,,,,,,,,,,,,,,
0.9,0.0148,0.0003,,,,,,,,,,,,,,,,,,,
0.92,0.0152,-0.0001,,,,,,,,,,,,,,,,,,,
0.94,0.0154,0.0011,,,,,,,,,,,,,,,,,,,
0.96,0.0158,-0.0007,,,,,,,,,,,,,,,,,,,
0.98,0.0162,-0.0009,,,,,,,,,,,,,,,,,,,
1,0.0165,-0.0003,,,,,,,,,,,,,,,,,,,
1.02,0.0169,0.0005,,,,,,,,,,,,,,,,,,,
1.04,0.0173,0.0005,,,,,,,,,,,,,,,,,,,
1.06,0.0175,-0.0003,,,,,,,,,,,,,,,,,,,
1.08,0.0179,-0.0001,,,,,,,,,,,,,,,,,,,
1.1,0.0181,0.0003,,,,,,,,,,,,,,,,,,,
1.12,0.0185,0.0004,,,,,,,,,,,,,,,,,,,
1.14,0.019,0.0004,,,,,,,,,,,,,,,,,,,
1.16,0.0192,0.0004,,,,,,,,,,,,,,,,,,,
1.18,0.0194,-0.0004,,,,,,,,,,,,,,,,,,,
1.2,0.0198,0,,,,,,,,,,,,,,,,,,,
1.22,0.0202,-0.0001,,,,,,,,,,,,,,,,,,,
1.24,0.0204,0.0017,,,,,,,,,,,,,,,,,,,
1.26,0.0208,0.0008,,,,,,,,,,,,,,,,,,,
1.28,0.021,-0.0005,,,,,,,,,,,,,,,,,,,
1.3,0.0215,0.0005,,,,,,,,,,,,,,,,,,,
1.32,0.0217,0.0019,,,,,,,,,,,,,,,,,,,
1.34,0.0221,0,,,,,,,,,,,,,,,,,,,
1.36,0.0225,-0.0001,,,,,,,,,,,,,,,,,,,
1.38,0.0229,0.0003,,,,,,,,,,,,,,,,,,,
1.4,0.0231,0.0006,,,,,,,,,,,,,,,,,,,
1.42,0.0235,0.0013,,,,,,,,,,,,,,,,,,,
1.44,0.0237,-0.0005,,,,,,,,,,,,,,,,,,,
1.46,0.0242,0.0009,,,,,,,,,,,,,,,,,,,
1.48,0.0246,-0.0002,,,,,,,,,,,,,,,,,,,
1.5,0.0248,-0.0008,,,,,,,,,,,,,,,,,,,
1.52,0.0252,0.0007,,,,,,,,,,,,,,,,,,,
1.54,0.0256,0.0012,,,,,,,,,,,,,,,,,,,
1.56,0.0258,0.0002,,,,,,,,,,,,,,,,,,,
1.58,0.0262,-0.0003,,,,,,,,,,,,,,,,,,,
1.6,0.0265,0.0001,,,,,,,,,,,,,,,,,,,
