Results Table 1,,,,,,,,,,,,,,,,,,,,
,Specimen label,,,,,,,,,,,,,,,,,,,
2,PETG-UN-1,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Results Table 2,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Time,Displacement,Force,,,,,,,,,,,,,,,,,,
(s),(mm),(N),,,,,,,,,,,,,,,,,,
0,0,0.0035,,,,,,,,,,,,,,,,,,
0.02,0,0.0031,,,,,,,,,,,,,,,,,,
0.04,0,-0.0013,,,,,,,,,,,,,,,,,,
0.06,0,-0.0014,,,,,,,,,,,,,,,,,,
0.08,0,0.0002,,,,,,,,,,,,,,,,,,
0.1,0,0.0009,,,,,,,,,,,,,,,,,,
0.12,0.0004,-0.0043,,,,,,,,,,,,,,,DISP,CELL,AVG,STDEV
0.14,0.0004,-0.0004,,,,,,,,,,,,,,START,40,120011,2.19675697,0.528012092
0.16,0.0004,0.0031,,,,,,,,,,,,,,STOP,65.4,196212,,
0.18,0.0004,0.0015,,,,,,,,,,,,,,,,,,
0.2,0.0004,0.0001,,,,,,,,,,,,,,,,,,
0.22,0.0006,-0.0006,,,,,,,,,,,,,,,,,,
0.24,0.0008,0.0032,,,,,,,,,,,,,,,,,,
0.26,0.001,0.0009,,,,,,,,,,,,,,,,,,
0.28,0.0015,-0.0019,,,,,,,,,,,,,,,,,,
0.3,0.0021,-0.0003,,,,,,,,,,,,,,,,,,
0.32,0.0025,0,,,,,,,,,,,,,,,,,,
0.34,0.0031,0,,,,,,,,,,,,,,,,,,
0.36,0.0037,0.0001,,,,,,,,,,,,,,,,,,
0.38,0.0044,0.0005,,,,,,,,,,,,,,,,,,
0.4,0.0048,0.0019,,,,,,,,,,,,,,,,,,
0.42,0.0054,-0.0004,,,,,,,,,,,,,,,,,,
0.44,0.0058,0.0022,,,,,,,,,,,,,,,,,,
0.46,0.0065,0.0019,,,,,,,,,,,,,,,,,,
0.48,0.0069,0.0001,,,,,,,,,,,,,,,,,,
0.5,0.0073,-0.0028,,,,,,,,,,,,,,,,,,
0.52,0.0077,0.0002,,,,,,,,,,,,,,,,,,
0.54,0.0081,0.0022,,,,,,,,,,,,,,,,,,
0.56,0.0085,-0.0004,,,,,,,,,,,,,,,,,,
0.58,0.0087,0.0012,,,,,,,,,,,,,,,,,,
0.6,0.0092,0.0004,,,,,,,,,,,,,,,,,,
0.62,0.0096,0.0039,,,,,,,,,,,,,,,,,,
0.64,0.01,-0.0009,,,,,,,,,,,,,,,,,,
0.66,0.0104,0,,,,,,,,,,,,,,,,,,
0.68,0.0108,0.0019,,,,,,,,,,,,,,,,,,
0.7,0.0112,-0.0007,,,,,,,,,,,,,,,,,,
0.72,0.0117,-0.0001,,,,,,,,,,,,,,,,,,
0.74,0.0119,-0.0015,,,,,,,,,,,,,,,,,,
0.76,0.0123,0.0025,,,,,,,,,,,,,,,,,,
0.78,0.0127,0.0008,,,,,,,,,,,,,,,,,,
0.8,0.0131,-0.0007,,,,,,,,,,,,,,,,,,
0.82,0.0135,-0.0001,,,,,,,,,,,,,,,,,,
0.84,0.0137,0.003,,,,,,,,,,,,,,,,,,
0.86,0.0142,0.0009,,,,,,,,,,,,,,,,,,
0.88,0.0144,-0.0016,,,,,,,,,,,,,,,,,,
0.9,0.0148,0.0001,,,,,,,,,,,,,,,,,,
0.92,0.0152,-0.001,,,,,,,,,,,,,,,,,,
0.94,0.0156,0.0001,,,,,,,,,,,,,,,,,,
0.96,0.0158,0.0003,,,,,,,,,,,,,,,,,,
0.98,0.0162,0.001,,,,,,,,,,,,,,,,,,
1,0.0167,0.0022,,,,,,,,,,,,,,,,,,
1.02,0.0169,0.0012,,,,,,,,,,,,,,,,,,
1.04,0.0173,-0.0003,,,,,,,,,,,,,,,,,,
1.06,0.0177,0.0012,,,,,,,,,,,,,,,,,,
1.08,0.0179,-0.0012,,,,,,,,,,,,,,,,,,
1.1,0.0183,-0.0004,,,,,,,,,,,,,,,,,,
1.12,0.0185,0.0009,,,,,,,,,,,,,,,,,,
1.14,0.019,0.0016,,,,,,,,,,,,,,,,,,
1.16,0.0194,0.0009,,,,,,,,,,,,,,,,,,
1.18,0.0196,0.0001,,,,,,,,,,,,,,,,,,
1.2,0.02,0.002,,,,,,,,,,,,,,,,,,
1.22,0.0202,0.0018,,,,,,,,,,,,,,,,,,
1.24,0.0206,0.001,,,,,,,,,,,,,,,,,,
1.26,0.0208,-0.0001,,,,,,,,,,,,,,,,,,
1.28,0.0212,0.0017,,,,,,,,,,,,,,,,,,
1.3,0.0217,0.0008,,,,,,,,,,,,,,,,,,
1.32,0.0219,-0.0001,,,,,,,,,,,,,,,,,,
1.34,0.0223,0.0005,,,,,,,,,,,,,,,,,,
1.36,0.0227,0,,,,,,,,,,,,,,,,,,
1.38,0.0229,0.0036,,,,,,,,,,,,,,,,,,
1.4,0.0233,0.0001,,,,,,,,,,,,,,,,,,
1.42,0.0237,0.0008,,,,,,,,,,,,,,,,,,
1.44,0.024,0.001,,,,,,,,,,,,,,,,,,
1.46,0.0244,0.0002,,,,,,,,,,,,,,,,,,
1.48,0.0248,0.0012,,,,,,,,,,,,,,,,,,
1.5,0.0252,0.0007,,,,,,,,,,,,,,,,,,
1.52,0.0254,0.0009,,,,,,,,,,,,,,,,,,
1.54,0.0258,0.0012,,,,,,,,,,,,,,,,,,
1.56,0.026,0,,,,,,,,,,,,,,,,,,
1.58,0.0265,0.0005,,,,,,,,,,,,,,,,,,
1.6,0.0267,0.0014,,,,,,,,,,,,,,,,,,
1.62,0.0271,0.0006,,,,,,,,,,,,,,,,,,
1.64,0.0273,0.0015,,,,,,,,,,,,,,,,,,
1.66,0.0277,0.0014,,,,,,,,,,,,,,,,,,
1.68,0.0281,0.0018,,,,,,,,,,,,,,,,,,
1.7,0.0283,-0.0005,,,,,,,,,,,,,,,,,,
1.72,0.0287,0.0013,,,,,,,,,,,,,,,,,,
1.74,0.0292,0.0003,,,,,,,,,,,,,,,,,,
1.76,0.0294,0.002,,,,,,,,,,,,,,,,,,
1.78,0.0298,0.0021,,,,,,,,,,,,,,,,,,
1.8,0.03,0.0007,,,,,,,,,,,,,,,,,,
1.82,0.0304,0.0026,,,,,,,,,,,,,,,,,,
1.84,0.0308,-0.0015,,,,,,,,,,,,,,,,,,
1.86,0.031,0.0016,,,,,,,,,,,,,,,,,,
1.88,0.0312,-0.0002,,,,,,,,,,,,,,,,,,
1.9,0.0317,0.001,,,,,,,,,,,,,,,,,,
1.92,0.0321,0.0012,,,,,,,,,,,,,,,,,,
1.94,0.0323,0.0005,,,,,,,,,,,,,,,,,,
1.96,0.0325,0.0029,,,,,,,,,,,,,,,,,,
1.98,0.0329,0.0013,,,,,,,,,,,,,,,,,,
2,0.0333,0.001,,,,,,,,,,,,,,,,,,
2.02,0.0337,0.0011,,,,,,,,,,,,,,,,,,
2.04,0.034,0.002,,,,,,,,,,,,,,,,,,
2.06,0.0344,0.0003,,,,,,,,,,,,,,,,,,
2.08,0.0346,0.0008,,,,,,,,,,,,,,,,,,
2.1,0.035,0.0007,,,,,,,,,,,,,,,,,,
2.12,0.0352,0.0007,,,,,,,,,,,,,,,,,,
2.14,0.0356,0.0023,,,,,,,,,,,,,,,,,,
2.16,0.036,0.0004,,,,,,,,,,,,,,,,,,
2.18,0.0362,0.0015,,,,,,,,,,,,,,,,,,
2.2,0.0365,0.0019,,,,,,,,,,,,,,,,,,
